,RUN_NAME,split num,epoch,loss,accuracy,roc_auc
0,20210222-2359 - arch=densenetblur121d - samples=10000 frozen=1 epochs=40 bs=32 res=300,1,5,0.9197456240653992,0.7319999933242798,0.9029321384086378
1,20210222-2359 - arch=densenetblur121d - samples=10000 frozen=1 epochs=40 bs=32 res=300,1,10,0.7948902249336243,0.8109999895095825,0.9379360364980587
2,20210222-2359 - arch=densenetblur121d - samples=10000 frozen=1 epochs=40 bs=32 res=300,1,15,0.7560898661613464,0.8259999752044678,0.9480609289340967
3,20210222-2359 - arch=densenetblur121d - samples=10000 frozen=1 epochs=40 bs=32 res=300,1,20,0.7475308775901794,0.8389999866485596,0.9488737672604476
4,20210222-2359 - arch=densenetblur121d - samples=10000 frozen=1 epochs=40 bs=32 res=300,1,25,0.7269535660743713,0.8460000157356262,0.960790475705457
