,RUN_NAME,split num,epoch,loss,accuracy,roc_auc,tuned weights bool
0,20210227-0137 - arch=nf_resnet50 - samples=-1 frozen=1 epochs=50 bs=32 res=256,1,5,0.7385297417640686,0.8417708873748779,0.9562966266330746,False
1,20210227-0137 - arch=nf_resnet50 - samples=-1 frozen=1 epochs=50 bs=32 res=256,1,10,0.6854733228683472,0.8687710762023926,0.9640014533705722,False
2,20210227-0137 - arch=nf_resnet50 - samples=-1 frozen=1 epochs=50 bs=32 res=256,1,15,0.6784164905548096,0.8685725927352905,0.9658224973899614,False
3,20210227-0137 - arch=nf_resnet50 - samples=-1 frozen=1 epochs=50 bs=32 res=256,1,20,0.6644757390022278,0.8719475865364075,0.9675737806670904,False
4,20210227-0137 - arch=nf_resnet50 - samples=-1 frozen=1 epochs=50 bs=32 res=256,1,25,0.6548235416412354,0.8816756010055542,0.9681022820449854,False
5,20210227-0137 - arch=nf_resnet50 - samples=-1 frozen=1 epochs=50 bs=32 res=256,1,30,0.6616175174713135,0.8747270107269287,0.9679644400243772,False
